cookie=0x0, duration=20.331s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=7e:0c:49:8f:61:3a,dl_dst=c6:05:d7:37:55:5a,nw_src=10.0.0.3,nw_dst=10.0.0.5 actions=output:3
cookie=0x0, duration=20.327s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=c6:05:d7:37:55:5a,dl_dst=7e:0c:49:8f:61:3a,nw_src=10.0.0.5,nw_dst=10.0.0.3 actions=output:2
cookie=0x0, duration=20.316s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=7e:0c:49:8f:61:3a,dl_dst=d2:b1:ff:0d:61:64,nw_src=10.0.0.3,nw_dst=10.0.0.7 actions=output:4
cookie=0x0, duration=20.312s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=d2:b1:ff:0d:61:64,dl_dst=7e:0c:49:8f:61:3a,nw_src=10.0.0.7,nw_dst=10.0.0.3 actions=output:2
cookie=0x0, duration=20.294s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=ea:6c:ce:ad:29:a8,dl_dst=c6:05:d7:37:55:5a,nw_src=10.0.0.9,nw_dst=10.0.0.5 actions=output:3
cookie=0x0, duration=20.289s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=c6:05:d7:37:55:5a,dl_dst=ea:6c:ce:ad:29:a8,nw_src=10.0.0.5,nw_dst=10.0.0.9 actions=output:5
cookie=0x0, duration=20.279s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=ea:6c:ce:ad:29:a8,dl_dst=d2:b1:ff:0d:61:64,nw_src=10.0.0.9,nw_dst=10.0.0.7 actions=output:4
cookie=0x0, duration=20.275s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=d2:b1:ff:0d:61:64,dl_dst=ea:6c:ce:ad:29:a8,nw_src=10.0.0.7,nw_dst=10.0.0.9 actions=output:5
cookie=0x0, duration=20.255s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=c6:05:d7:37:55:5a,dl_dst=d2:b1:ff:0d:61:64,nw_src=10.0.0.5,nw_dst=10.0.0.7 actions=output:4
cookie=0x0, duration=20.251s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=d2:b1:ff:0d:61:64,dl_dst=c6:05:d7:37:55:5a,nw_src=10.0.0.7,nw_dst=10.0.0.5 actions=output:3
cookie=0x0, duration=23.612s, table=0, n_packets=352, n_bytes=28981, idle_age=6, priority=0 actions=CONTROLLER:65535
